time,hka,mldfa,mpta,jlca,mldta,delta
0.000,184.421,150.061,22.843,2.675,179.650,-134.314
0.010,184.412,150.030,22.854,2.705,179.671,-134.292
0.020,184.405,150.030,22.862,2.703,179.680,-134.276
0.030,184.393,150.025,22.867,2.715,179.687,-134.266
0.040,184.386,150.020,22.866,2.728,179.689,-134.269
0.050,184.378,150.028,22.856,2.739,179.671,-134.289
0.060,184.388,150.095,22.851,2.666,179.668,-134.299
0.070,184.384,150.089,22.844,2.683,179.661,-134.312
0.080,184.380,150.070,22.852,2.698,179.678,-134.295
0.090,184.387,150.067,22.845,2.701,179.670,-134.310
0.100,184.376,150.036,22.847,2.741,179.672,-134.306
0.110,184.369,150.044,22.845,2.743,179.669,-134.310
0.120,184.361,150.042,22.842,2.755,179.662,-134.316
0.130,184.353,150.097,22.836,2.714,179.650,-134.328
0.140,184.342,150.103,22.837,2.718,179.649,-134.326
0.150,184.326,150.114,22.843,2.717,179.653,-134.313
0.160,184.311,150.099,22.840,2.750,179.646,-134.319
0.170,184.303,150.117,22.848,2.731,179.658,-134.304
0.180,184.242,150.114,22.898,2.745,179.728,-134.204
0.190,184.219,150.098,22.927,2.756,179.775,-134.146
0.200,184.220,150.111,22.926,2.743,179.781,-134.148
0.210,184.197,150.113,22.942,2.748,179.809,-134.117
0.220,184.180,150.126,22.966,2.728,179.849,-134.068
0.230,184.170,150.102,22.977,2.751,179.870,-134.046
0.240,184.159,150.116,22.974,2.751,179.871,-134.052
0.250,184.145,150.131,22.982,2.743,179.885,-134.036
0.260,184.128,150.122,22.979,2.771,179.884,-134.041
0.270,184.127,150.117,22.980,2.776,179.893,-134.040
0.280,184.112,150.081,22.990,2.817,179.916,-134.020
0.290,184.103,150.065,22.986,2.846,179.921,-134.029
0.300,184.102,150.050,23.006,2.842,179.960,-133.988
0.310,184.084,150.039,23.009,2.868,179.977,-133.983
0.320,184.088,150.065,23.017,2.830,179.998,-133.967
0.330,184.067,150.090,23.011,2.832,180.000,-133.979
0.340,184.048,150.107,23.015,2.829,179.992,-133.969
0.350,184.057,150.096,22.993,2.854,179.978,-134.015
0.360,184.037,150.110,22.999,2.854,179.987,-134.001
0.370,184.029,150.067,22.981,2.923,179.957,-134.037
0.380,184.040,150.119,22.961,2.880,179.925,-134.078
0.390,184.041,150.106,22.946,2.906,179.901,-134.107
0.400,184.048,150.119,22.925,2.908,179.868,-134.150
0.410,184.047,150.160,22.912,2.881,179.849,-134.175
0.420,184.053,150.163,22.900,2.885,179.828,-134.200
0.430,184.050,150.164,22.908,2.878,179.843,-134.184
0.440,184.057,150.143,22.909,2.891,179.844,-134.181
0.450,184.055,150.162,22.898,2.885,179.827,-134.204
0.460,184.052,150.170,22.911,2.867,179.844,-134.177
0.470,184.055,150.150,22.905,2.890,179.833,-134.189
0.480,184.054,150.156,22.903,2.888,179.823,-134.194
0.490,184.054,150.141,22.912,2.893,179.833,-134.175
0.500,184.062,150.145,22.914,2.878,179.832,-134.171
0.510,184.059,150.144,22.905,2.892,179.813,-134.191
0.520,184.039,150.161,22.918,2.882,179.825,-134.163
0.530,184.021,150.220,22.910,2.850,179.812,-134.181
0.540,183.982,150.264,22.924,2.830,179.827,-134.152
0.550,183.953,150.281,22.925,2.841,179.828,-134.151
0.560,183.918,150.294,22.940,2.849,179.849,-134.120
0.570,183.910,150.308,22.952,2.830,179.877,-134.096
0.580,183.911,150.281,22.973,2.835,179.920,-134.053
0.590,183.925,150.301,23.007,2.767,179.993,-133.986
0.600,183.935,150.349,23.026,2.691,179.961,-133.948
0.610,183.930,150.368,23.069,2.633,179.879,-133.861
0.620,183.906,150.376,23.102,2.616,179.823,-133.796
0.630,183.890,150.351,23.139,2.620,179.772,-133.722
0.640,183.878,150.402,23.154,2.565,179.757,-133.691
0.650,183.842,150.462,23.196,2.500,179.703,-133.609
0.660,183.801,150.509,23.249,2.441,179.632,-133.502
0.670,183.777,150.533,23.297,2.392,179.573,-133.405
0.680,183.743,150.552,23.345,2.360,179.517,-133.311
0.690,183.695,150.552,23.394,2.359,179.454,-133.212
0.700,183.692,150.514,23.424,2.370,179.418,-133.152
0.710,183.677,150.521,23.448,2.354,179.385,-133.103
0.720,183.711,150.525,23.450,2.314,179.385,-133.100
0.730,183.766,150.562,23.441,2.231,179.392,-133.117
0.740,183.840,150.592,23.411,2.157,179.437,-133.178
0.750,183.896,150.580,23.401,2.123,179.446,-133.197
0.760,184.004,150.576,23.375,2.045,179.469,-133.250
0.770,184.096,150.576,23.314,2.014,179.542,-133.372
0.780,184.190,150.544,23.307,1.959,179.536,-133.386
0.790,184.307,150.513,23.297,1.884,179.532,-133.406
0.800,184.417,150.563,23.267,1.753,179.558,-133.466
0.810,184.534,150.592,23.254,1.621,179.556,-133.493
0.820,184.666,150.592,23.242,1.500,179.554,-133.516
0.830,184.880,150.619,23.183,1.318,179.611,-133.634
0.840,184.977,150.644,23.240,1.138,179.511,-133.519
0.850,185.142,150.654,23.190,1.014,179.558,-133.621
0.860,185.310,150.634,23.144,0.911,179.594,-133.712
0.870,185.476,150.643,23.116,0.765,179.612,-133.768
0.880,185.642,150.655,23.113,0.590,179.589,-133.774
0.890,185.833,150.691,23.137,0.339,179.519,-133.726
0.900,186.019,150.667,23.214,0.099,179.366,-133.571
0.910,186.202,150.675,23.307,0.183,179.195,-133.753
0.920,186.404,150.676,23.405,0.485,179.006,-134.159
0.930,186.559,150.637,23.492,0.689,178.832,-134.393
0.940,186.678,150.599,23.576,0.854,178.681,-134.555
0.950,186.752,150.579,23.662,0.993,178.548,-134.662
0.960,186.812,150.539,23.655,1.005,178.578,-134.701
0.970,186.882,150.536,23.626,1.044,178.654,-134.836
0.980,186.967,150.557,23.599,1.123,178.748,-135.048
0.990,187.088,150.613,23.562,1.264,178.859,-135.403
1.000,187.182,150.652,23.507,1.340,178.998,-135.668
1.010,187.237,150.675,23.482,1.394,179.090,-135.825
1.020,187.274,150.665,23.533,1.472,179.063,-135.878
1.030,187.327,150.603,23.603,1.534,178.985,-135.861
1.040,187.368,150.538,23.717,1.624,178.835,-135.813
1.050,187.421,150.513,23.838,1.772,178.662,-135.868
1.060,187.499,150.482,23.899,1.880,178.572,-135.962
1.070,187.563,150.452,23.989,2.004,178.448,-136.030
1.080,187.676,150.479,24.128,2.283,178.239,-136.310
1.090,187.809,150.433,24.193,2.436,178.161,-136.486
1.100,187.994,150.375,24.249,2.618,178.081,-136.738
1.110,188.221,150.306,24.290,2.817,178.027,-137.054
1.120,188.423,150.182,24.338,2.943,177.965,-137.210
1.130,188.625,150.120,24.407,3.152,177.872,-137.489
1.140,188.802,150.066,24.459,3.327,177.799,-137.736
1.150,188.956,150.006,24.570,3.532,177.631,-137.924
1.160,189.054,149.947,24.705,3.707,177.422,-138.003
1.170,189.136,149.959,24.827,3.921,177.223,-138.190
1.180,189.223,149.909,24.982,4.115,176.959,-138.266
1.190,189.278,149.841,25.142,4.261,176.692,-138.238
1.200,189.328,149.800,25.278,4.406,176.455,-138.257
1.210,189.363,149.709,25.424,4.495,176.199,-138.143
1.220,189.424,149.641,25.539,4.605,175.986,-138.131
1.230,189.468,149.573,25.655,4.697,175.775,-138.083
1.240,189.519,149.499,25.718,4.737,175.651,-138.037
1.250,189.569,149.439,25.787,4.795,175.509,-138.016
1.260,189.654,149.399,25.803,4.857,175.444,-138.107
1.270,189.733,149.331,25.823,4.888,175.370,-138.129
1.280,189.790,149.284,25.837,4.912,175.309,-138.150
1.290,189.867,149.246,25.814,4.926,175.308,-138.225
1.300,189.914,149.131,25.781,4.827,175.329,-138.091
1.310,189.959,149.098,25.712,4.770,175.416,-138.115
1.320,190.007,149.089,25.645,4.740,175.505,-138.191
1.330,190.056,149.072,25.551,4.678,175.643,-138.254
1.340,190.103,149.091,25.453,4.647,175.779,-138.388
1.350,190.154,149.086,25.375,4.615,175.887,-138.481
1.360,190.182,149.090,25.321,4.593,175.953,-138.545
1.370,190.207,149.063,25.286,4.557,175.988,-138.540
1.380,190.200,149.009,25.260,4.469,176.005,-138.419
1.390,190.180,148.999,25.189,4.368,176.102,-138.358
1.400,190.151,148.994,25.283,4.428,175.925,-138.290
1.410,190.090,149.000,25.329,4.420,175.842,-138.180
1.420,190.069,149.003,25.326,4.399,175.834,-138.144
1.430,190.032,149.022,25.317,4.371,175.858,-138.108
1.440,189.981,149.053,25.283,4.317,175.925,-138.068
1.450,189.969,149.070,25.211,4.250,176.060,-138.078
1.460,189.945,149.055,25.135,4.135,176.194,-138.000
1.470,189.930,149.072,25.055,4.057,176.334,-138.005
1.480,189.914,149.081,24.946,3.941,176.512,-137.991
1.490,189.862,149.055,24.795,3.713,176.752,-137.835
1.500,189.799,149.031,24.797,3.626,176.726,-137.659
1.510,189.706,149.029,24.649,3.383,176.948,-137.470
1.520,189.596,149.021,24.701,3.319,176.839,-137.235
1.530,189.457,148.964,24.659,3.080,176.904,-136.842
1.540,189.295,148.944,24.536,2.775,177.109,-136.478
1.550,189.097,148.909,24.383,2.388,177.371,-136.011
1.560,188.905,148.920,24.342,2.167,177.458,-135.651
1.570,188.679,148.934,24.223,1.837,177.691,-135.226
1.580,188.421,148.952,24.050,1.423,178.017,-134.747
1.590,188.195,148.993,23.960,1.149,178.213,-134.376
1.600,187.971,149.065,23.795,0.831,178.505,-134.072
1.610,187.779,149.091,23.690,0.560,178.704,-133.739
1.620,187.598,149.105,23.595,0.299,178.853,-133.406
1.630,187.467,149.096,23.588,0.151,178.844,-133.125
1.640,187.297,149.122,23.626,0.045,178.752,-132.838
1.650,187.117,149.117,23.709,0.057,178.580,-132.582
1.660,186.892,149.143,23.767,0.198,178.465,-132.466
1.670,186.606,149.145,23.832,0.417,178.355,-132.336
1.680,186.400,149.165,23.879,0.556,178.279,-132.242
1.690,186.204,149.188,23.879,0.729,178.291,-132.242
1.700,186.008,149.140,23.832,1.021,178.386,-132.337
1.710,185.777,149.111,23.803,1.310,178.474,-132.395
1.720,185.511,149.091,23.709,1.689,178.683,-132.582
1.730,185.212,149.053,23.617,2.119,178.902,-132.767
1.740,184.863,149.032,23.518,2.588,179.153,-132.964
1.750,184.559,149.021,23.346,3.074,179.495,-133.308
1.760,184.211,149.010,23.335,3.444,179.610,-133.331
1.770,183.941,149.037,23.215,3.807,179.866,-133.571
1.780,183.663,149.023,23.171,4.143,179.989,-133.658
1.790,183.351,148.995,23.135,4.519,179.865,-133.730
1.800,183.031,148.952,22.954,5.064,179.521,-134.092
1.810,182.713,148.931,22.881,5.474,179.344,-134.237
1.820,182.365,148.903,22.828,5.905,179.202,-134.343
1.830,182.059,148.942,22.856,6.142,179.190,-134.287
1.840,181.805,148.970,22.767,6.458,179.038,-134.466
1.850,181.665,149.001,22.748,6.586,179.020,-134.504
1.860,181.558,149.057,22.761,6.623,179.084,-134.478
1.870,181.487,149.033,22.777,6.703,179.163,-134.446
1.880,181.414,149.015,22.777,6.794,179.215,-134.447
1.890,181.342,148.950,22.748,6.960,179.200,-134.505
1.900,181.240,148.868,22.720,7.172,179.181,-134.561
1.910,181.155,148.845,22.698,7.301,179.154,-134.604
1.920,181.031,148.838,22.687,7.443,179.137,-134.625
1.930,180.929,148.843,22.652,7.576,179.071,-134.695
1.940,180.815,148.885,22.597,7.703,178.970,-134.806
1.950,180.687,148.896,22.517,7.900,178.813,-134.967
1.960,180.557,148.896,22.430,8.117,178.646,-135.140
1.970,180.507,148.868,22.297,8.328,178.413,-135.407
1.980,180.437,148.846,22.166,8.552,178.203,-135.668
1.990,180.395,148.813,22.050,8.742,178.024,-135.900
2.000,180.343,148.840,21.963,8.853,177.901,-136.073
2.010,180.258,148.861,21.916,8.965,177.856,-136.168
2.020,180.128,148.857,21.915,9.100,177.879,-136.171
2.030,180.014,148.895,21.935,9.155,177.951,-136.130
2.040,179.954,148.975,21.984,9.088,178.066,-136.033
2.050,179.885,149.014,22.028,9.073,178.172,-135.944
2.060,179.835,149.035,22.022,9.107,178.185,-135.956
2.070,179.779,149.007,22.020,9.195,178.183,-135.960
2.080,179.773,149.064,21.961,9.201,178.090,-136.077
2.090,179.777,149.128,21.876,9.220,177.948,-136.248
2.100,179.794,149.191,21.791,9.224,177.793,-136.418
2.110,179.797,149.244,21.724,9.235,177.665,-136.553
2.120,179.814,149.244,21.634,9.308,177.506,-136.732
2.130,179.846,149.241,21.564,9.349,177.375,-136.872
2.140,179.905,149.289,21.495,9.310,177.255,-137.010
2.150,179.946,149.298,21.478,9.278,177.215,-137.044
2.160,179.992,149.345,21.470,9.192,177.191,-137.059
2.170,180.037,149.307,21.478,9.177,177.190,-137.043
2.180,180.102,149.328,21.478,9.092,177.176,-137.044
2.190,180.151,149.364,21.477,9.007,177.154,-137.045
2.200,180.237,149.415,21.442,8.906,177.086,-137.115
2.210,180.312,149.409,21.411,8.868,177.020,-137.178
2.220,180.413,149.422,21.337,8.828,176.888,-137.326
2.230,180.527,149.467,21.252,8.754,176.744,-137.497
2.240,180.637,149.475,21.175,8.713,176.617,-137.651
2.250,180.766,149.487,21.082,8.666,176.475,-137.836
2.260,180.937,149.511,20.960,8.592,176.293,-138.079
2.270,181.105,149.540,20.817,8.538,176.096,-138.366
2.280,181.278,149.568,20.695,8.459,175.928,-138.610
2.290,181.444,149.556,20.601,8.398,175.804,-138.797
2.300,181.589,149.559,20.517,8.335,175.692,-138.966
2.310,181.691,149.565,20.497,8.247,175.677,-139.005
2.320,181.776,149.593,20.495,8.137,175.677,-139.010
2.330,181.856,149.640,20.493,8.011,175.680,-139.014
2.340,181.939,149.690,20.513,7.858,175.720,-138.974
2.350,182.050,149.749,20.537,7.664,175.755,-138.926
2.360,182.181,149.776,20.531,7.511,175.744,-138.938
2.370,182.362,149.787,20.529,7.322,175.741,-138.942
2.380,182.598,149.866,20.507,7.030,175.713,-138.986
2.390,182.836,149.965,20.519,6.680,175.729,-138.962
2.400,183.076,150.113,20.548,6.263,175.776,-138.903
2.410,183.301,150.222,20.585,5.893,175.826,-138.831
2.420,183.489,150.316,20.660,5.535,175.933,-138.679
2.430,183.682,150.378,20.725,5.215,176.017,-138.550
2.440,183.845,150.437,20.864,4.855,176.214,-138.273
2.450,184.032,150.463,21.017,4.488,176.425,-137.966
