time,hka,mldfa,mpta,jlca,delta,mldta
0.77,156.228,116.63,73.716,-19.141,-0.0010000000000118803,145.716
0.78,156.023,116.683,73.745,-18.961,0.0,145.697
0.79,155.821,116.79,73.801,-18.81,-3.552713678800501e-15,145.6
0.8,155.569,116.852,73.833,-18.588,7.105427357601002e-15,145.548
0.81,155.371,116.849,73.827,-18.394,0.0009999999999834586,145.624
0.82,155.087,116.93,73.864,-18.154,0.0010000000000083276,145.524
0.83,154.794,117.042,73.908,-17.928,-1.0658141036401503e-14,145.39
0.84,154.445,117.153,73.969,-17.628,-0.0010000000000047748,145.183
0.85,154.168,117.225,74.014,-17.379,-3.552713678800501e-15,145.065
0.86,153.905,117.31,74.053,-17.162,-7.105427357601002e-15,144.974
0.87,153.653,117.393,74.094,-16.953,0.0010000000000012221,144.893
0.88,153.425,117.455,74.13,-16.749,-0.001000000000015433,144.849
0.89,153.235,117.496,74.162,-16.569,-3.552713678800501e-15,144.83
0.9,152.936,117.579,74.204,-16.311,-7.105427357601002e-15,144.752
0.91,152.69,117.652,74.237,-16.106,0.0009999999999976694,144.697
0.92,152.331,117.769,74.29,-15.809,-0.000999999999990564,144.555
0.93,151.99,117.825,74.335,-15.479,-0.0010000000000189857,144.453
0.94,151.635,117.945,74.389,-15.191,1.4210854715202004e-14,144.314
0.95,151.251,118.084,74.435,-14.9,-7.105427357601002e-15,144.198
0.96,150.958,118.188,74.481,-14.666,0.0009999999999941167,144.12
0.97,150.664,118.279,74.53,-14.413,1.7763568394002505e-14,144.036
0.98,150.357,118.378,74.58,-14.154,-0.0010000000000012221,143.951
0.99,150.15,118.424,74.604,-13.971,0.0009999999999870113,143.958
1.0,149.917,118.489,74.638,-13.768,0.0,143.911
1.01,149.653,118.556,74.678,-13.532,0.0010000000000083276,143.83
1.02,149.369,118.644,74.718,-13.295,0.0,143.725
1.03,149.058,118.736,74.768,-13.026,3.552713678800501e-15,143.57
1.04,148.752,118.835,74.813,-12.774,0.0,143.428
1.05,148.438,118.935,74.855,-12.517,-0.0009999999999870113,143.303
1.06,148.17,119.011,74.892,-12.289,1.4210854715202004e-14,143.221
1.07,147.908,119.12,74.941,-12.087,1.4210854715202004e-14,143.117
1.08,147.678,119.181,74.978,-11.881,0.0,143.077
1.09,147.389,119.307,75.021,-11.675,-1.4210854715202004e-14,142.999
1.1,147.105,119.429,75.079,-11.455,0.0,142.884
1.11,146.478,119.637,75.222,-10.893,-1.4210854715202004e-14,142.432
1.12,146.183,119.75,75.271,-10.662,7.105427357601002e-15,142.322
1.13,145.812,119.894,75.339,-10.367,-1.4210854715202004e-14,142.125
1.14,145.458,120.02,75.397,-10.081,1.4210854715202004e-14,141.947
1.15,145.081,120.157,75.459,-9.778,-0.0009999999999834586,141.743
1.16,144.734,120.292,75.526,-9.5,-1.4210854715202004e-14,141.528
1.17,144.456,120.401,75.581,-9.276,1.4210854715202004e-14,141.36
1.18,144.205,120.489,75.633,-9.061,-2.1316282072803006e-14,141.208
1.19,144.319,120.478,75.62,-9.177,2.1316282072803006e-14,141.327
1.2,144.585,120.362,75.571,-9.376,-7.105427357601002e-15,141.594
1.21,144.348,120.359,75.591,-9.116,-1.4210854715202004e-14,141.525
1.22,144.455,120.382,75.566,-9.272,0.0009999999999834586,141.591
1.23,144.199,120.402,75.599,-9.002,-7.105427357601002e-15,141.457
1.24,144.319,120.45,75.594,-9.175,0.0,141.479
1.25,144.105,120.506,75.625,-8.985,-0.000999999999990564,141.355
1.26,144.197,120.488,75.611,-9.074,0.0,141.406
1.27,144.125,120.486,75.616,-8.995,-7.105427357601002e-15,141.391
1.28,144.247,120.448,75.603,-9.091,-0.0010000000000118803,141.453
1.29,144.273,120.435,75.595,-9.113,0.0,141.498
1.3,144.368,120.412,75.595,-9.185,0.0,141.516
1.31,144.31,120.446,75.606,-9.151,0.000999999999990564,141.459
1.32,144.239,120.459,75.618,-9.08,-1.4210854715202004e-14,141.376
1.33,144.125,120.497,75.623,-9.0,0.0010000000000047748,141.317
1.34,144.108,120.507,75.625,-8.991,0.000999999999990564,141.29
1.35,144.082,120.528,75.622,-8.988,0.0,141.311
1.36,144.13,120.509,75.621,-9.018,0.0,141.361
1.37,144.157,120.512,75.62,-9.049,-7.105427357601002e-15,141.415
1.38,144.189,120.498,75.625,-9.062,0.0,141.429
1.39,144.181,120.494,75.617,-9.058,-7.105427357601002e-15,141.453
1.4,144.22,120.477,75.606,-9.091,-7.105427357601002e-15,141.473
1.41,144.114,120.5,75.618,-8.996,-7.105427357601002e-15,141.398
1.42,144.099,120.511,75.618,-8.992,1.4210854715202004e-14,141.368
1.43,143.989,120.56,75.637,-8.913,0.000999999999990564,141.268
1.44,143.951,120.593,75.645,-8.9,0.0009999999999976694,141.231
1.45,143.889,120.627,75.657,-8.859,-7.105427357601002e-15,141.198
1.46,143.849,120.622,75.661,-8.811,0.0010000000000118803,141.222
1.47,143.781,120.648,75.674,-8.755,7.105427357601002e-15,141.215
1.48,143.758,120.664,75.676,-8.745,-0.0010000000000118803,141.252
1.49,143.719,120.662,75.676,-8.705,0.0,141.284
1.5,143.668,120.687,75.679,-8.676,0.0,141.284
1.51,143.545,120.719,75.692,-8.572,1.4210854715202004e-14,141.233
1.52,143.417,120.775,75.713,-8.478,-0.0010000000000118803,141.14
1.53,143.297,120.816,75.735,-8.378,0.0,141.052
1.54,143.174,120.825,75.757,-8.242,0.0,140.974
1.55,143.146,120.845,75.767,-8.224,1.4210854715202004e-14,140.946
1.56,143.132,120.848,75.768,-8.212,0.0,140.951
1.57,143.121,120.852,75.771,-8.202,-1.4210854715202004e-14,140.959
1.58,143.083,120.866,75.777,-8.173,0.0010000000000047748,140.946
1.59,143.055,120.887,75.782,-8.16,-1.4210854715202004e-14,140.929
1.6,143.019,120.893,75.786,-8.126,-7.105427357601002e-15,140.919
1.61,142.97,120.901,75.789,-8.082,7.105427357601002e-15,140.905
