time,hka,mldfa,mpta,jlca,delta,mldta
0.0,178.438,109.417,72.701,-35.154,7.105427357601002e-15,143.809
0.01,178.424,109.425,72.697,-35.153,0.0009999999999976694,143.804
0.02,178.413,109.433,72.692,-35.154,-2.1316282072803006e-14,143.802
0.03,178.403,109.439,72.691,-35.151,2.1316282072803006e-14,143.792
0.04,178.405,109.438,72.689,-35.154,-7.105427357601002e-15,143.798
0.05,178.396,109.445,72.691,-35.149,-0.0009999999999763531,143.785
0.06,178.429,109.424,72.709,-35.144,-7.105427357601002e-15,143.797
0.07,178.428,109.425,72.703,-35.15,7.105427357601002e-15,143.803
0.08,178.432,109.422,72.706,-35.149,0.0010000000000189857,143.798
0.09,178.43,109.421,72.705,-35.147,0.0009999999999834586,143.781
0.1,178.447,109.411,72.712,-35.147,0.0009999999999976694,143.79
0.11,178.43,109.423,72.703,-35.151,0.0009999999999976694,143.787
0.12,178.432,109.422,72.712,-35.142,2.1316282072803006e-14,143.779
0.13,178.441,109.414,72.71,-35.145,-7.105427357601002e-15,143.795
0.14,178.442,109.414,72.709,-35.147,-7.105427357601002e-15,143.807
0.15,178.448,109.41,72.711,-35.148,0.0009999999999976694,143.818
0.16,178.441,109.414,72.709,-35.147,0.0009999999999976694,143.815
0.17,178.431,109.422,72.714,-35.139,-7.105427357601002e-15,143.796
0.18,178.417,109.43,72.706,-35.141,-7.105427357601002e-15,143.788
0.19,178.416,109.433,72.704,-35.146,0.000999999999990564,143.796
0.2,178.428,109.424,72.701,-35.151,-7.105427357601002e-15,143.805
0.21,178.437,109.45,72.764,-35.123,-2.1316282072803006e-14,143.788
0.22,178.435,109.451,72.762,-35.124,7.105427357601002e-15,143.787
0.23,178.433,109.451,72.782,-35.102,7.105427357601002e-15,143.754
0.24,178.429,109.452,72.763,-35.118,7.105427357601002e-15,143.784
0.25,178.398,109.448,72.701,-35.145,7.105427357601002e-15,143.789
0.26,178.38,109.462,72.679,-35.163,0.0,143.823
0.27,178.366,109.471,72.684,-35.153,-2.1316282072803006e-14,143.795
0.28,178.356,109.479,72.678,-35.158,0.0010000000000047748,143.812
0.29,178.337,109.493,72.666,-35.164,1.4210854715202004e-14,143.818
0.3,178.313,109.535,72.695,-35.154,0.0010000000000118803,143.811
0.31,178.288,109.546,72.663,-35.171,-2.1316282072803006e-14,143.822
