time,hka,mldfa,mpta,jlca,delta,mldta
0.0,152.314,118.386,74.394,-16.306,1.7763568394002505e-14,142.21
0.01,151.799,118.53,74.459,-15.87,-7.105427357601002e-15,142.022
0.02,151.51,118.69,74.483,-15.716,-0.0009999999999834586,142.001
0.03,151.009,118.854,74.562,-15.301,1.4210854715202004e-14,141.774
0.04,150.493,119.054,74.645,-14.902,0.0,141.517
0.05,149.919,119.256,74.738,-14.438,0.000999999999990564,141.224
0.06,149.291,119.424,74.831,-13.883,-0.0010000000000012221,140.928
0.07,148.635,119.637,74.935,-13.337,1.0658141036401503e-14,140.605
0.08,147.982,119.873,75.045,-12.81,0.0,140.26
0.09,147.336,120.059,75.139,-12.255,-0.0010000000000118803,139.996
0.1,146.794,120.229,75.221,-11.802,-7.105427357601002e-15,139.802
0.11,146.247,120.381,75.294,-11.335,0.0009999999999834586,139.639
0.12,145.775,120.532,75.368,-10.939,-7.105427357601002e-15,139.488
0.13,145.322,120.696,75.449,-10.57,0.0009999999999976694,139.31
0.14,144.862,120.848,75.525,-10.185,1.4210854715202004e-14,139.127
0.15,144.417,120.993,75.605,-9.806,0.0010000000000047748,138.922
0.16,144.018,121.088,75.659,-9.448,0.0010000000000118803,138.794
0.17,143.611,121.223,75.729,-9.105,1.4210854715202004e-14,138.588
0.18,143.222,121.323,75.783,-8.761,-0.0010000000000047748,138.41
0.19,142.924,121.399,75.828,-8.495,-7.105427357601002e-15,138.267
0.2,142.595,121.492,75.875,-8.211,-0.0010000000000047748,138.114
0.21,142.362,121.577,75.915,-8.023,-0.000999999999990564,137.996
0.22,142.101,121.659,75.959,-7.8,-0.0010000000000047748,137.89
0.23,141.909,121.737,75.995,-7.651,1.4210854715202004e-14,137.807
0.24,141.705,121.799,76.025,-7.479,-1.4210854715202004e-14,137.751
0.25,141.527,121.861,76.055,-7.333,1.4210854715202004e-14,137.703
0.26,141.354,121.934,76.087,-7.2,-0.0010000000000047748,137.64
0.27,141.191,121.979,76.113,-7.056,-0.0010000000000047748,137.587
0.28,141.042,122.02,76.129,-6.934,0.0010000000000047748,137.552
0.29,140.868,122.065,76.151,-6.782,0.0,137.482
0.3,140.755,122.117,76.166,-6.706,0.0,137.418
0.31,140.596,122.155,76.185,-6.566,0.0,137.32
0.32,140.525,122.192,76.195,-6.522,-7.105427357601002e-15,137.274
0.33,140.435,122.231,76.213,-6.453,0.0,137.198
0.34,140.327,122.283,76.241,-6.369,0.0,137.081
0.35,140.062,122.359,76.276,-6.144,-0.0010000000000118803,136.903
0.36,139.924,122.432,76.3,-6.055,-0.0010000000000118803,136.786
0.37,139.681,122.518,76.345,-5.855,0.000999999999990564,136.622
0.38,139.524,122.608,76.391,-5.74,-0.0009999999999976694,136.486
0.39,139.225,122.652,76.425,-5.451,-0.0009999999999976694,136.361
0.4,139.178,122.695,76.431,-5.442,7.105427357601002e-15,136.357
0.41,138.896,122.757,76.475,-5.178,0.0,136.225
0.42,138.816,122.829,76.503,-5.142,7.105427357601002e-15,136.188
0.43,138.631,122.881,76.533,-4.979,0.0,136.131
0.44,138.473,122.954,76.565,-4.862,-7.105427357601002e-15,136.063
0.45,138.173,123.053,76.616,-4.609,-0.0009999999999976694,135.899
0.46,137.912,123.141,76.653,-4.4,-7.105427357601002e-15,135.785
