time,hka,mldfa,mpta,jlca,delta,mldta
0.0,179.373,108.792,72.184,-35.981,7.105427357601002e-15,148.764
0.01,179.488,108.708,72.229,-35.967,0.0,148.767
0.02,179.934,108.35,72.209,-36.075,1.4210854715202004e-14,148.999
0.03,180.428,107.987,72.227,-36.188,1.4210854715202004e-14,149.346
0.04,180.561,107.886,72.272,-36.175,0.0,149.361
0.05,180.688,107.796,72.223,-36.261,7.105427357601002e-15,149.553
0.06,180.849,107.684,72.289,-36.244,1.4210854715202004e-14,149.577
0.07,180.943,107.62,72.341,-36.222,-2.1316282072803006e-14,149.561
0.08,181.115,107.518,72.41,-36.223,-1.4210854715202004e-14,149.683
0.09,181.192,107.435,72.385,-36.243,0.0009999999999976694,149.699
0.1,181.163,107.428,72.389,-36.202,-1.4210854715202004e-14,149.607
0.11,181.225,107.368,72.401,-36.192,7.105427357601002e-15,149.552
0.12,181.296,107.308,72.446,-36.157,-0.0010000000000047748,149.508
0.13,181.481,107.182,72.559,-36.104,0.0,149.51
0.14,181.699,107.025,72.667,-36.057,-1.4210854715202004e-14,149.471
0.15,181.891,106.886,72.758,-36.02,0.0010000000000118803,149.466
0.16,182.085,106.749,72.838,-35.996,-7.105427357601002e-15,149.474
0.17,182.153,106.692,72.876,-35.968,-0.0009999999999763531,149.448
0.18,182.437,106.491,72.901,-36.027,-1.4210854715202004e-14,149.717
0.19,182.56,106.391,72.925,-36.026,-7.105427357601002e-15,149.748
0.2,182.712,106.3,73.027,-35.985,1.4210854715202004e-14,149.762
0.21,182.968,106.126,73.09,-36.004,7.105427357601002e-15,149.91
0.22,183.04,106.066,73.133,-35.972,-0.0009999999999976694,149.894
0.23,183.11,106.006,73.152,-35.964,-1.4210854715202004e-14,149.877
0.24,183.216,105.926,73.226,-35.915,-0.0010000000000118803,149.812
0.25,183.389,105.801,73.299,-35.89,-0.0010000000000047748,149.837
0.26,183.576,105.668,73.404,-35.84,0.0,149.815
0.27,183.815,105.502,73.525,-35.792,1.4210854715202004e-14,149.848
0.28,183.786,105.496,73.546,-35.736,7.105427357601002e-15,149.696
0.29,183.99,105.359,73.589,-35.76,-7.105427357601002e-15,149.812
0.3,184.208,105.226,73.715,-35.718,-0.000999999999990564,149.87
0.31,184.301,105.162,73.761,-35.701,-0.0009999999999976694,149.888
