Trajectories																		
100																		
	KNEE MODEL:SHIN1			KNEE MODEL:SHIN3			KNEE MODEL:SHIN2			KNEE MODEL:THIGH2			KNEE MODEL:THIGH3			KNEE MODEL:THIGH1		
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
542	30.2147	290.119	312.951	-75.4541	279.631	211.74	120.483	355.279	209.768	-25.2505	377.266	36.3547	-1.26329	375.314	21.471	14.9949	400.041	33.4312
543	29.484	291.921	313.8	-75.8899	280.696	212.323	120.031	356.385	210.488	-25.2347	377.263	36.3595	-1.26324	375.341	21.4893	14.9854	400.036	33.4351
544	28.6709	293.689	314.597	-76.3522	281.782	212.875	119.535	357.508	211.2	-25.2351	377.267	36.363	-1.25015	375.345	21.4822	14.9954	400.033	33.4255
545	27.8031	295.494	315.423	-76.8863	282.881	213.461	118.952	358.651	211.916	-25.2361	377.262	36.3682	-1.26206	375.347	21.4934	14.9904	400.038	33.4414
546	26.8698	297.334	316.225	-77.4885	284.04	213.996	118.356	359.797	212.583	-25.2405	377.264	36.3565	-1.26813	375.337	21.4723	14.9967	400.034	33.4313
547	25.8292	299.176	317.047	-78.1848	285.28	214.577	117.716	360.871	213.298	-25.2474	377.26	36.3552	-1.27582	375.312	21.4786	14.9934	400.042	33.4452
548	24.7585	301.064	317.852	-78.9408	286.612	215.133	117.089	361.911	213.995	-25.2428	377.264	36.3495	-1.27701	375.331	21.4658	14.9949	400.037	33.4265
549	23.6292	303	318.682	-79.7477	287.978	215.718	116.556	362.773	214.729	-25.2411	377.265	36.3503	-1.27509	375.321	21.4809	14.9876	400.035	33.4349
550	22.4918	304.987	319.499	-80.5377	289.384	216.302	115.895	363.893	215.478	-25.2467	377.263	36.3582	-1.27082	375.333	21.4706	14.9994	400.036	33.4266
551	21.2998	306.979	320.335	-81.3765	290.78	216.848	115.134	365.067	216.204	-25.241	377.269	36.3624	-1.27407	375.346	21.4896	14.9859	400.037	33.4408
552	20.137	308.94	321.107	-82.1901	292.139	217.381	114.445	366.197	216.949	-25.2352	377.264	36.3662	-1.24227	375.326	21.4846	15.0005	400.037	33.4342
553	18.983	310.878	321.861	-82.9869	293.493	217.869	113.705	367.359	217.665	-25.2251	377.264	36.3667	-1.25877	375.349	21.4983	14.987	400.041	33.4452
554	17.8699	312.843	322.582	-83.7305	294.813	218.35	112.999	368.568	218.35	-25.2239	377.266	36.3577	-1.25906	375.346	21.4843	14.997	400.037	33.4315
555	16.7711	314.847	323.304	-84.473	296.123	218.835	112.259	369.837	219.025	-25.2356	377.26	36.3501	-1.27878	375.309	21.4754	14.9834	400.035	33.4368
556	15.6921	316.924	324.013	-85.1746	297.436	219.303	111.535	371.208	219.675	-25.261	377.265	36.3572	-1.28438	375.33	21.4686	14.9898	400.034	33.4267
557	14.5932	319.043	324.736	-85.8652	298.76	219.799	110.817	372.612	220.374	-25.2609	377.266	36.3483	-1.29067	375.311	21.475	14.9838	400.035	33.4429
558	13.5242	321.184	325.434	-86.5465	300.105	220.269	110.112	374.01	221.026	-25.2587	377.265	36.3531	-1.26146	375.314	21.4792	14.9991	400.039	33.441
559	12.4128	323.307	326.118	-87.2365	301.462	220.729	109.397	375.38	221.707	-25.2404	377.267	36.3546	-1.26398	375.326	21.4959	14.9866	400.041	33.4464
560	11.2926	325.431	326.772	-87.9201	302.81	221.158	108.685	376.739	222.361	-25.2346	377.264	36.359	-1.24509	375.322	21.4869	14.9967	400.037	33.4395
561	10.13	327.525	327.396	-88.6609	304.118	221.552	107.939	378.131	223.012	-25.2279	377.267	36.3521	-1.26152	375.323	21.4865	14.9775	400.036	33.4373
562	8.95361	329.636	328.005	-89.3759	305.405	221.938	107.167	379.548	223.661	-25.2482	377.272	36.3535	-1.27425	375.331	21.4771	14.987	400.036	33.4332
563	7.74642	331.756	328.595	-90.0877	306.678	222.273	106.381	380.996	224.319	-25.2442	377.263	36.3431	-1.2717	375.312	21.478	14.984	400.04	33.4396
564	6.53873	333.893	329.178	-90.8025	307.933	222.627	105.584	382.498	224.982	-25.2565	377.264	36.357	-1.27255	375.314	21.4782	14.9895	400.043	33.4415
565	5.38288	336.061	329.743	-91.4464	309.18	222.962	104.798	384.057	225.626	-24.9383	377.323	36.1734	-1.28008	375.348	21.4873	14.9842	400.042	33.4474
566	4.24119	338.225	330.283	-92.0785	310.39	223.284	104.02	385.633	226.253	-24.8346	377.338	36.1175	-1.27509	375.344	21.4914	14.9862	400.042	33.4478
567	3.11954	340.38	330.799	-92.7132	311.616	223.618	103.258	387.2	226.833	-24.7801	377.357	36.0864	-1.26708	375.344	21.4898	14.9895	400.044	33.4427
568	2.02479	342.519	331.278	-93.328	312.841	223.92	102.498	388.759	227.371	-24.7685	377.369	36.085	-1.2674	375.316	21.482	14.9791	400.045	33.4403
569	0.959943	344.602	331.734	-93.9347	314.052	224.229	101.769	390.24	227.894	-24.6149	377.361	36.01	-1.26625	375.315	21.4741	14.9865	400.048	33.4346
570	-0.140111	346.632	332.161	-94.5854	315.283	224.506	101.047	391.624	228.404	-24.5292	377.348	35.976	-1.26901	375.316	21.4787	14.9843	400.046	33.442
571	-1.20709	348.619	332.565	-95.2506	316.508	224.759	100.338	392.96	228.889	-24.5121	377.336	35.9708	-1.25695	375.324	21.4822	14.9864	400.046	33.4378
572	-2.29261	350.563	332.94	-95.8986	317.703	225.009	99.6303	394.284	229.371	-24.5303	377.324	35.9819	-1.26637	375.314	21.484	14.9861	400.044	33.4486
573	-3.349	352.526	333.296	-96.5413	318.877	225.238	98.928	395.627	229.795	-24.5416	377.315	35.9837	-1.27734	375.335	21.4807	14.9885	400.044	33.4417
574	-4.38781	354.489	333.645	-97.1298	320.048	225.49	98.2265	397.027	230.227	-24.5682	377.309	36.0088	-1.27742	375.316	21.481	14.9778	400.043	33.4457
575	-5.33661	356.489	333.967	-97.6564	321.179	225.724	97.5726	398.494	230.622	-24.575	377.308	36.0151	-1.27104	375.346	21.4815	14.9805	400.047	33.4349
576	-6.25236	358.469	334.279	-98.132	322.278	225.969	96.9245	399.983	230.996	-24.6015	377.303	36.0321	-1.27938	375.345	21.4878	14.9726	400.046	33.4365
577	-7.0896	360.417	334.562	-98.5562	323.336	226.213	96.3365	401.452	231.333	-24.6108	377.297	36.0401	-1.26622	375.341	21.4818	14.9786	400.043	33.4282
578	-7.93826	362.335	334.846	-99.0208	324.42	226.45	95.7345	402.893	231.657	-24.6618	377.293	36.0656	-1.27874	375.345	21.4948	14.9763	400.047	33.4454
579	-8.73188	364.222	335.082	-99.4445	325.487	226.685	95.1725	404.284	231.943	-24.6882	377.291	36.074	-1.27913	375.337	21.4777	14.9811	400.042	33.4421
580	-9.52028	366.075	335.323	-99.8658	326.523	226.916	94.6204	405.664	232.215	-24.7294	377.285	36.1034	-1.2966	375.337	21.4875	14.9757	400.05	33.4516
581	-10.2499	367.921	335.53	-100.255	327.556	227.126	94.0879	407.03	232.446	-24.7389	377.286	36.1089	-1.28271	375.337	21.4745	14.9801	400.045	33.4344
582	-11.0258	369.759	335.73	-100.671	328.616	227.335	93.5509	408.373	232.716	-24.7693	377.287	36.1326	-1.29139	375.332	21.4789	14.9655	400.039	33.4381
583	-11.786	371.602	335.919	-101.066	329.693	227.535	93.0306	409.686	232.931	-24.7716	377.276	36.1373	-1.25625	375.342	21.4823	14.9847	400.041	33.4269
584	-12.5674	373.474	336.106	-101.538	330.794	227.766	92.4747	411.033	233.165	-24.8156	377.286	36.1676	-1.28631	375.331	21.4838	14.9711	400.041	33.4408
585	-13.324	375.394	336.266	-101.961	331.919	227.951	91.9459	412.397	233.373	-24.8255	377.286	36.172	-1.27913	375.334	21.4785	14.9845	400.045	33.4378
586	-14.1424	377.351	336.431	-102.422	333.067	228.172	91.3792	413.81	233.573	-24.8647	377.287	36.1946	-1.28785	375.335	21.4876	14.9761	400.049	33.446
587	-14.9181	379.314	336.562	-102.852	334.216	228.352	90.8161	415.236	233.769	-24.8754	377.291	36.1944	-1.2714	375.337	21.48	14.9891	400.047	33.4419
588	-15.7503	381.263	336.693	-103.318	335.369	228.528	90.2429	416.614	233.957	-24.9053	377.294	36.2075	-1.27629	375.334	21.4865	14.976	400.049	33.4469
589	-16.5831	383.186	336.794	-103.804	336.512	228.699	89.6741	417.962	234.137	-24.9128	377.295	36.2128	-1.26323	375.338	21.4814	14.9839	400.044	33.4361
590	-17.4474	385.069	336.892	-104.31	337.653	228.842	89.0791	419.296	234.325	-24.9393	377.302	36.2355	-1.27551	375.312	21.4834	14.974	400.045	33.4407
591	-18.2975	386.941	336.967	-104.808	338.789	228.968	88.5051	420.575	234.489	-24.9451	377.296	36.2472	-1.26907	375.311	21.4805	14.9806	400.041	33.4361
592	-19.138	388.788	337.03	-105.315	339.919	229.098	87.9343	421.874	234.651	-24.9765	377.295	36.2628	-1.27153	375.309	21.4849	15.0196	399.961	33.4411
593	-19.927	390.658	337.086	-105.772	341.044	229.226	87.3769	423.211	234.768	-24.99	377.304	36.2712	-1.25818	375.312	21.491	15.0314	399.959	33.4408
594	-20.7109	392.495	337.118	-106.21	342.124	229.35	86.8137	424.53	234.871	-25.0112	377.306	36.2818	-1.26657	375.31	21.4878	15.0288	399.961	33.4441
595	-21.4678	394.336	337.143	-106.625	343.195	229.473	86.2267	425.841	234.969	-25.0324	377.315	36.2851	-1.26373	375.316	21.484	15.0151	399.995	33.4442
596	-22.2048	396.171	337.147	-107.04	344.266	229.577	85.6881	427.143	235.053	-25.0458	377.319	36.2877	-1.27181	375.316	21.479	15.0143	399.996	33.4379
597	-22.9458	398.006	337.144	-107.443	345.34	229.696	85.1763	428.532	235.098	-25.0669	377.319	36.2943	-1.27823	375.317	21.4811	14.9888	400.04	33.4406
598	-23.6924	399.862	337.133	-107.853	346.437	229.794	84.6684	430.02	235.152	-25.0758	377.328	36.2999	-1.27774	375.348	21.4837	14.9893	400.037	33.4387
599	-24.4458	401.732	337.118	-108.26	347.566	229.895	84.1653	431.349	235.22	-25.0658	377.326	36.3176	-1.25651	375.326	21.4955	14.9848	400.052	33.4517
600	-25.141	403.609	337.074	-108.658	348.679	230.003	83.6589	432.708	235.251	-25.0635	377.322	36.3155	-1.255	375.316	21.4885	14.995	400.049	33.4535
601	-25.8609	405.498	337.027	-109.047	349.758	230.125	83.1287	434.124	235.263	-25.0879	377.328	36.3239	-1.27919	375.334	21.4915	14.9886	400.05	33.4591
602	-26.4999	407.338	336.935	-109.383	350.801	230.213	82.6458	435.491	235.203	-25.0966	377.323	36.3088	-1.27614	375.336	21.4761	14.9846	400.047	33.4402
603	-27.0852	409.114	336.838	-109.704	351.818	230.313	82.1618	436.887	235.128	-25.1264	377.327	36.3134	-1.29117	375.334	21.4774	14.9728	400.051	33.4386
604	-27.6584	410.901	336.738	-109.964	352.796	230.431	81.7115	438.23	235.025	-25.1185	377.33	36.3097	-1.27685	375.345	21.4782	14.9715	400.046	33.4291
605	-28.2385	412.643	336.66	-110.239	353.766	230.537	81.2614	439.603	235	-25.1216	377.332	36.3314	-1.27719	375.345	21.4946	14.9761	400.048	33.445
606	-28.8215	414.41	336.562	-110.514	354.738	230.637	80.8206	440.937	234.958	-25.1106	377.331	36.3385	-1.26188	375.345	21.4923	14.9875	400.048	33.446
607	-29.5043	416.189	336.448	-110.837	355.733	230.719	80.3195	442.279	234.908	-25.1232	377.335	36.3501	-1.28181	375.344	21.5034	14.9764	400.049	33.4605
608	-30.1973	418.001	336.295	-111.173	356.727	230.757	79.8146	443.636	234.85	-25.1213	377.332	36.3326	-1.27779	375.345	21.4874	14.981	400.047	33.4463
609	-30.916	419.848	336.138	-111.535	357.727	230.815	79.2505	445.073	234.761	-25.141	377.331	36.3332	-1.30098	375.331	21.4774	14.9661	400.048	33.4473
610	-31.6429	421.707	335.955	-111.842	358.699	230.847	78.7069	446.559	234.678	-25.132	377.33	36.3219	-1.28276	375.33	21.4637	14.9772	400.044	33.4255
611	-32.3824	423.54	335.788	-112.172	359.663	230.901	78.1275	448.062	234.615	-25.1452	377.326	36.3364	-1.27374	375.317	21.4846	14.971	400.043	33.4394
612	-33.1131	425.356	335.596	-112.506	360.624	230.93	77.5708	449.513	234.511	-25.1419	377.333	36.3354	-1.25931	375.344	21.4912	14.9766	400.046	33.4354
613	-33.9135	427.147	335.405	-112.934	361.618	230.944	76.9775	450.904	234.459	-25.1591	377.334	36.3532	-1.27901	375.348	21.5073	14.9711	400.051	33.4596
614	-34.7294	428.918	335.167	-113.37	362.633	230.898	76.3757	452.239	234.358	-25.1396	377.332	36.343	-1.26881	375.344	21.4949	14.9814	400.049	33.4534
615	-35.5959	430.67	334.923	-113.866	363.681	230.835	75.7486	453.547	234.277	-25.1476	377.333	36.3515	-1.29078	375.332	21.4904	14.9624	400.047	33.4553
616	-36.4767	432.457	334.646	-114.369	364.752	230.741	75.1146	454.858	234.165	-25.1288	377.327	36.3391	-1.28014	375.33	21.4704	14.9696	400.042	33.4322
617	-37.4207	434.265	334.374	-114.906	365.807	230.67	74.5497	456.067	234.154	-25.1536	377.326	36.3479	-1.29646	375.328	21.4754	14.9556	400.04	33.436
618	-38.3032	436.077	334.084	-115.401	366.853	230.611	74.0189	457.597	234.118	-25.1635	377.333	36.3403	-1.28293	375.331	21.4774	14.9672	400.039	33.4328
619	-39.1486	437.825	333.816	-115.862	367.878	230.536	73.3825	458.985	233.989	-25.1794	377.332	36.3502	-1.29369	375.33	21.4916	14.9646	400.048	33.4536
620	-39.9324	439.573	333.517	-116.269	368.882	230.502	72.8416	460.309	233.862	-25.1722	377.335	36.3503	-1.27967	375.331	21.4934	14.9798	400.045	33.4554
621	-40.6811	441.259	333.231	-116.703	369.898	230.419	72.1713	461.52	233.64	-25.1701	377.336	36.3542	-1.27788	375.345	21.5069	14.9669	400.048	33.4602
622	-41.3895	442.939	332.924	-117.109	370.902	230.362	71.5991	462.688	233.421	-25.1534	377.333	36.3464	-1.27055	375.342	21.4987	14.9675	400.04	33.4477
623	-42.166	444.624	332.605	-117.561	371.911	230.291	71.0927	463.988	233.296	-25.1773	377.337	36.3549	-1.28705	375.343	21.4966	14.9574	400.041	33.4418
624	-42.912	446.28	332.281	-117.975	372.907	230.199	70.579	465.303	233.13	-25.1622	377.329	36.3549	-1.28344	375.339	21.4881	14.9573	400.042	33.4322
625	-43.6479	447.926	331.944	-118.396	373.911	230.124	69.9732	466.435	232.898	-25.1647	377.331	36.3613	-1.28927	375.312	21.4838	14.9577	400.039	33.4401
626	-44.358	449.577	331.607	-118.773	374.887	230.017	69.4702	467.662	232.708	-25.1737	377.339	36.3556	-1.29063	375.335	21.4837	14.9652	400.045	33.4455
627	-45.024	451.194	331.265	-119.164	375.871	229.953	69.1432	468.676	232.601	-25.1846	377.337	36.3557	-1.29504	375.344	21.4942	14.97	400.045	33.4589
628	-45.6045	452.794	330.915	-119.489	376.823	229.896	68.7497	469.861	232.383	-25.1871	377.34	36.3521	-1.29144	375.341	21.4949	14.9695	400.041	33.4557
629	-46.1084	454.379	330.574	-119.744	377.73	229.869	68.3558	471.078	232.102	-25.1839	377.335	36.3546	-1.28961	375.342	21.4935	14.9523	400.04	33.4479
630	-46.5442	455.949	330.23	-119.906	378.612	229.89	68.0011	472.315	231.79	-25.174	377.332	36.3564	-1.2864	375.336	21.496	14.9469	400.038	33.4418
631	-46.8914	457.5	329.897	-120.035	379.484	229.898	67.6957	473.558	231.453	-25.169	377.335	36.3601	-1.28108	375.345	21.4915	14.9475	400.038	33.434
632	-47.1964	459.036	329.557	-120.132	380.34	229.952	67.4174	474.785	231.096	-25.1741	377.341	36.3628	-1.29108	375.348	21.4945	14.9559	400.042	33.439
633	-47.4386	460.527	329.22	-120.171	381.19	230.003	67.1876	476.009	230.71	-25.1717	377.341	36.3601	-1.29472	375.346	21.4893	14.97	400.044	33.4483
634	-47.6407	462.009	328.887	-120.2	382.035	230.071	66.983	477.202	230.326	-25.1859	377.342	36.3637	-1.31397	375.345	21.4964	14.9604	400.043	33.4618
635	-47.7719	463.491	328.555	-120.178	382.868	230.169	66.8277	478.404	229.889	-25.1813	377.338	36.3515	-1.31182	375.343	21.4858	14.9618	400.044	33.4503
636	-47.8101	464.956	328.226	-120.095	383.659	230.293	66.711	479.635	229.428	-25.1955	377.34	36.3583	-1.31243	375.342	21.489	14.9467	400.04	33.4495
637	-47.8081	466.39	327.899	-119.921	384.432	230.446	66.6351	480.896	228.935	-25.1901	377.337	36.3498	-1.29299	375.343	21.4878	14.9499	400.036	33.4366
638	-47.7991	467.761	327.59	-119.718	385.167	230.618	66.5666	482.134	228.438	-25.1919	377.335	36.3633	-1.29204	375.341	21.5005	14.9445	400.04	33.4421
639	-47.7102	469.124	327.284	-119.482	385.888	230.778	66.5168	483.371	227.925	-25.1742	377.332	36.3584	-1.27808	375.343	21.498	14.9573	400.035	33.4419
640	-47.5527	470.684	326.933	-119.25	386.588	230.972	66.4536	484.615	227.418	-25.1924	377.336	36.3714	-1.29693	375.344	21.509	14.9511	400.04	33.458
641	-47.4592	472.063	326.595	-119.021	387.291	231.112	66.389	485.843	226.868	-25.1823	377.338	36.3572	-1.29526	375.345	21.4958	14.9633	400.046	33.4482
642	-47.3988	473.426	326.267	-118.807	387.986	231.279	66.3005	487.062	226.35	-25.2015	377.339	36.3581	-1.31985	375.339	21.4941	14.9469	400.041	33.453
643	-47.3075	474.784	325.911	-118.564	388.666	231.415	66.2374	488.274	225.812	-25.1901	377.337	36.3416	-1.30783	375.332	21.4742	14.9527	400.037	33.4345
644	-47.2631	476.11	325.572	-118.361	389.335	231.579	66.1464	489.447	225.289	-25.2031	377.333	36.3546	-1.32438	375.328	21.4806	14.9358	400.034	33.4372
645	-47.1974	477.431	325.22	-118.151	390.004	231.705	66.0668	490.604	224.775	-25.1898	377.335	36.3468	-1.29426	375.341	21.4808	14.958	400.033	33.4283
646	-47.1558	478.715	324.901	-117.974	390.662	231.84	65.9672	491.72	224.303	-25.2091	377.335	36.3662	-1.30497	375.343	21.4977	14.9438	400.041	33.4472
647	-47.1742	479.978	324.546	-117.808	391.328	231.955	65.8651	492.794	223.827	-25.1862	377.331	36.3623	-1.27794	375.344	21.4995	14.9587	400.043	33.4464
648	-47.2685	481.227	324.201	-117.752	391.998	232.025	65.7212	493.813	223.386	-25.1978	377.33	36.3664	-1.28603	375.32	21.5054	14.9472	400.043	33.4558
649	-47.4344	482.468	323.818	-117.749	392.705	232.045	65.5424	494.805	222.958	-25.1855	377.331	36.3548	-1.28667	375.342	21.4955	14.9586	400.039	33.4481
650	-47.7107	483.723	323.427	-117.864	393.447	232.028	65.2995	495.772	222.563	-25.2017	377.336	36.3567	-1.30851	375.341	21.4896	14.9443	400.037	33.4435
651	-48.0583	484.979	323.006	-118.013	394.195	231.961	65.0187	496.729	222.173	-25.2	377.335	36.3487	-1.31398	375.339	21.4759	14.9506	400.037	33.4351
652	-48.4373	486.229	322.586	-118.171	394.958	231.904	64.7247	497.682	221.814	-25.2107	377.336	36.3538	-1.32479	375.329	21.476	14.9387	400.036	33.4385
653	-48.7802	487.47	322.184	-118.339	395.702	231.826	64.4435	498.605	221.459	-25.1912	377.33	36.356	-1.30793	375.327	21.4801	14.9556	400.038	33.4402
654	-49.1553	488.674	321.778	-118.497	396.439	231.768	64.1747	499.516	221.11	-25.191	377.333	36.3616	-1.30112	375.336	21.4976	14.9491	400.039	33.4521
655	-49.4674	489.838	321.382	-118.637	397.135	231.704	63.9239	500.383	220.759	-25.1863	377.333	36.3667	-1.28225	375.337	21.5035	14.9531	400.038	33.4559
656	-49.7936	490.955	320.995	-118.786	397.831	231.619	63.6715	501.208	220.418	-25.1869	377.33	36.3612	-1.28866	375.335	21.5041	14.9455	400.034	33.4493
657	-50.1364	492.024	320.604	-119.004	398.514	231.535	63.3971	501.972	220.085	-25.1971	377.335	36.3592	-1.29143	375.336	21.4968	14.9436	400.036	33.4434
658	-50.489	493.054	320.212	-119.205	399.159	231.407	63.1263	502.724	219.766	-25.1973	377.331	36.3515	-1.30613	375.325	21.4794	14.9409	400.036	33.4372
659	-50.8848	494.042	319.834	-119.424	399.793	231.303	62.8332	503.45	219.464	-25.2024	377.33	36.352	-1.31778	375.324	21.4795	14.947	400.034	33.4396
660	-51.2612	495.002	319.468	-119.654	400.394	231.186	62.5407	504.148	219.19	-25.1958	377.332	36.3507	-1.31896	375.327	21.4766	14.9489	400.034	33.4406
661	-51.6795	495.923	319.114	-119.893	400.98	231.055	62.2394	504.812	218.943	-25.1983	377.331	36.3644	-1.32115	375.322	21.4874	14.9475	400.034	33.4543
662	-52.127	496.835	318.742	-120.176	401.579	230.9	61.9241	505.448	218.71	-25.1904	377.33	36.3631	-1.30347	375.329	21.4881	14.9473	400.035	33.4498
663	-52.6063	497.723	318.386	-120.5	402.17	230.721	61.5906	506.038	218.501	-25.1984	377.334	36.367	-1.29916	375.337	21.5067	14.9412	400.038	33.456
664	-53.137	498.595	318.003	-120.874	402.79	230.501	61.2321	506.613	218.305	-25.1947	377.329	36.3555	-1.29322	375.34	21.4984	14.9379	400.033	33.4417
665	-53.6894	499.442	317.626	-121.277	403.397	230.274	60.8688	507.148	218.131	-25.1974	377.33	36.3626	-1.29691	375.336	21.4997	14.9332	400.034	33.4426
666	-54.2427	500.276	317.249	-121.666	403.986	230.021	60.516	507.685	217.958	-25.1817	377.331	36.3589	-1.29373	375.337	21.491	14.9433	400.033	33.4349
667	-54.7635	501.05	316.911	-122.063	404.553	229.812	60.1569	508.18	217.815	-25.2031	377.334	36.3692	-1.32103	375.325	21.493	14.9422	400.036	33.4547
668	-55.2208	501.78	316.57	-122.351	405.04	229.605	59.8286	508.687	217.624	-25.195	377.336	36.3553	-1.3166	375.329	21.4849	14.9491	400.032	33.4505
669	-55.609	502.411	316.285	-122.59	405.439	229.482	59.5292	509.176	217.44	-25.2129	377.334	36.3636	-1.33473	375.327	21.4894	14.9441	400.037	33.4574
670	-55.8782	502.951	316.031	-122.704	405.732	229.377	59.3273	509.629	217.242	-25.1867	377.332	36.3494	-1.32	375.324	21.4784	14.9441	400.035	33.4391
671	-56.097	503.403	315.841	-122.782	405.956	229.339	59.1378	510.032	217.086	-25.1955	377.332	36.3639	-1.31722	375.336	21.4931	14.9396	400.032	33.4481
672	-56.2416	503.751	315.683	-122.81	406.102	229.313	59.0004	510.393	216.925	-25.176	377.333	36.3586	-1.28248	375.34	21.4924	14.953	400.035	33.4336
673	-56.3554	503.998	315.585	-122.809	406.161	229.327	58.8605	510.702	216.801	-25.202	377.341	36.3708	-1.28506	375.339	21.511	14.9386	400.035	33.449
674	-56.4154	504.134	315.516	-122.744	406.134	229.355	58.7557	510.937	216.683	-25.1924	377.339	36.3616	-1.28124	375.341	21.5046	14.9551	400.036	33.4475
675	-56.4145	504.113	315.524	-122.65	406.004	229.416	58.685	511.075	216.621	-25.2136	377.335	36.3653	-1.31957	375.329	21.4996	14.9464	400.04	33.4611
676	-56.2987	503.958	315.584	-122.447	405.773	229.511	58.6939	511.129	216.577	-25.1878	377.343	36.3524	-1.31897	375.328	21.4803	14.9514	400.037	33.4468
677	-56.1339	503.661	315.732	-122.188	405.396	229.67	58.7357	511.138	216.59	-25.1895	377.34	36.3618	-1.32262	375.338	21.4876	14.9442	400.038	33.4533
678	-55.8918	503.213	315.92	-121.868	404.896	229.841	58.8258	511.057	216.625	-25.1711	377.333	36.3608	-1.29329	375.337	21.4876	14.9504	400.034	33.4402
679	-55.6637	502.611	316.185	-121.574	404.297	230.03	58.8992	510.868	216.751	-25.1813	377.337	36.379	-1.29104	375.34	21.5073	14.9387	400.038	33.4487
680	-55.4307	501.814	316.49	-121.273	403.611	230.183	59.0091	510.511	216.924	-25.1767	377.333	36.3672	-1.28285	375.34	21.5026	14.9542	400.037	33.4456
681	-55.2024	500.86	316.859	-121.024	402.841	230.324	59.1262	509.989	217.197	-25.2052	377.339	36.3739	-1.30418	375.341	21.5042	14.9472	400.044	33.4578
682	-54.9463	499.733	317.266	-120.771	401.987	230.435	59.2938	509.318	217.534	-25.194	377.334	36.3521	-1.30083	375.329	21.4887	14.961	400.04	33.4533
683	-54.6937	498.463	317.737	-120.568	401.084	230.546	59.4821	508.511	217.937	-25.2033	377.337	36.3558	-1.30398	375.341	21.4996	14.948	400.038	33.4561
684	-54.3656	497.05	318.255	-120.351	400.116	230.673	59.7077	507.552	218.386	-25.1851	377.336	36.3556	-1.29335	375.34	21.4923	14.9511	400.034	33.4453
685	-54.0504	495.478	318.837	-120.161	399.06	230.773	59.9272	506.496	218.906	-25.1929	377.336	36.3673	-1.30222	375.337	21.4954	14.9457	400.033	33.4461
686	-53.6404	493.775	319.447	-119.918	397.916	230.9	60.2173	505.33	219.449	-25.1829	377.334	36.3643	-1.30961	375.33	21.4855	14.9566	400.035	33.4451
687	-53.1169	491.905	320.136	-119.583	396.654	231.071	60.5362	504.108	219.988	-25.1902	377.338	36.3698	-1.31441	375.33	21.4897	14.9543	400.041	33.4522
688	-52.4834	489.909	320.857	-119.177	395.304	231.259	60.9542	502.777	220.572	-25.1862	377.344	36.3644	-1.29624	375.343	21.4961	14.9556	400.035	33.4477
689	-51.7667	487.732	321.633	-118.771	393.924	231.44	61.4609	501.187	221.201	-25.1795	377.339	36.366	-1.28688	375.342	21.505	14.9557	400.036	33.4509
690	-51.0097	485.411	322.431	-118.403	392.518	231.574	61.8959	499.588	221.809	-25.1889	377.339	36.3685	-1.27747	375.346	21.5071	14.9527	400.037	33.4513
691	-50.1963	482.973	323.249	-118.037	391.095	231.714	62.5558	497.828	222.539	-25.1887	377.335	36.364	-1.29449	375.343	21.4996	14.9509	400.04	33.4464
692	-49.3052	480.429	324.078	-117.593	389.579	231.865	63.2863	495.918	223.252	-25.196	377.336	36.3604	-1.3103	375.332	21.488	14.9538	400.039	33.4503
693	-48.3576	477.69	324.928	-117.057	387.963	232.042	64.0887	493.97	223.959	-25.1912	377.336	36.3535	-1.30531	375.336	21.4844	14.9564	400.037	33.4425
694	-47.18	475.055	325.769	-116.409	386.247	232.284	64.8657	491.916	224.556	-25.191	377.337	36.359	-1.29797	375.341	21.4958	14.9549	400.038	33.4496
695	-45.9058	472.271	326.619	-115.593	384.409	232.543	65.892	490.008	225.246	-25.1809	377.345	36.3554	-1.28734	375.343	21.4932	14.9616	400.04	33.4479
696	-44.5071	469.361	327.487	-114.694	382.485	232.854	66.5543	487.998	225.59	-25.181	377.336	36.369	-1.28794	375.343	21.5025	14.9547	400.04	33.4547
697	-43.0206	466.352	328.333	-113.719	380.473	233.154	67.533	485.996	226.07	-25.1745	377.332	36.3577	-1.28783	375.318	21.4936	14.9597	400.036	33.4444
698	-41.4211	463.224	329.173	-112.695	378.433	233.455	68.5761	483.906	226.542	-25.1927	377.332	36.3583	-1.30748	375.329	21.4908	14.9545	400.038	33.4531
699	-39.8013	460.032	329.986	-111.677	376.375	233.717	69.6557	481.771	227.006	-25.1808	377.326	36.3469	-1.29125	375.328	21.4786	14.9644	400.035	33.4384
700	-38.2131	456.779	330.777	-110.74	374.356	233.936	70.7585	479.514	227.492	-25.1784	377.331	36.3596	-1.28666	375.339	21.5005	14.9572	400.034	33.446
701	-36.6407	453.438	331.523	-109.882	372.372	234.077	71.9128	477.061	228.009	-25.1569	377.329	36.3566	-1.27244	375.338	21.4957	14.9705	400.03	33.4438
702	-35.1454	450.066	332.24	-109.141	370.43	234.173	73.0557	474.475	228.513	-25.1635	377.329	36.3714	-1.28566	375.34	21.5028	14.9608	400.035	33.4536
