Trajectories																		
100																		
	KNEE MODEL:SHIN1			KNEE MODEL:SHIN3			KNEE MODEL:SHIN2			KNEE MODEL:THIGH2			KNEE MODEL:THIGH3			KNEE MODEL:THIGH1		
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
36	-73.3046	561.342	284.484	-137.136	449.178	215.247	49.5839	543.624	197.004	-25.2024	377.565	36.4827	-1.28077	375.536	21.5986	14.995	400.28	33.5269
37	-73.293	561.372	284.457	-137.127	449.197	215.224	49.5957	543.626	196.992	-25.1856	377.564	36.4735	-1.26633	375.534	21.5873	15.0025	400.273	33.5136
38	-73.2863	561.384	284.461	-137.128	449.207	215.236	49.6053	543.639	196.994	-25.1888	377.564	36.4789	-1.27581	375.533	21.5893	14.9925	400.276	33.5166
39	-73.2586	561.394	284.464	-137.106	449.219	215.24	49.6172	543.635	196.994	-25.1801	377.565	36.4861	-1.26844	375.531	21.5921	14.9994	400.275	33.5158
40	-73.2404	561.39	284.48	-137.102	449.218	215.256	49.6347	543.638	197.007	-25.1833	377.568	36.487	-1.27407	375.534	21.5989	14.9958	400.277	33.5278
41	-73.2507	561.379	284.478	-137.101	449.21	215.249	49.6328	543.626	197.011	-25.1868	377.569	36.4851	-1.31309	375.555	21.5935	14.9998	400.28	33.5282
42	-73.2748	561.37	284.472	-137.127	449.198	215.238	49.607	543.628	197.007	-25.1894	377.566	36.4803	-1.28034	375.53	21.5925	14.8204	400.281	33.4122
43	-73.3193	561.365	284.455	-137.157	449.187	215.218	49.5748	543.634	197.006	-25.2016	377.564	36.4774	-1.28479	375.528	21.5868	14.9983	400.274	33.5206
44	-73.3735	561.374	284.434	-137.185	449.184	215.199	49.5322	543.65	197	-25.214	377.563	36.474	-1.29597	375.535	21.5758	14.9908	400.276	33.5143
45	-73.4108	561.37	284.436	-137.209	449.177	215.197	49.5174	543.659	197.007	-25.2133	377.565	36.4798	-1.28588	375.532	21.5847	15.0018	400.278	33.5207
46	-73.413	561.37	284.439	-137.197	449.172	215.198	49.5214	543.661	197.012	-25.2047	377.564	36.4799	-1.30908	375.558	21.5862	14.9975	400.279	33.5136
47	-73.3807	561.365	284.462	-137.175	449.167	215.221	49.536	543.66	197.027	-25.1998	377.565	36.4953	-1.30458	375.558	21.5993	14.999	400.276	33.5254
48	-73.3396	561.351	284.478	-137.141	449.168	215.23	49.5758	543.637	197.035	-25.1844	377.565	36.4917	-1.25778	375.533	21.6041	14.9978	400.277	33.5244
49	-73.2955	561.357	284.493	-137.137	449.177	215.252	49.5911	543.638	197.034	-25.1922	377.566	36.4987	-1.26981	375.534	21.6046	14.9919	400.275	33.5293
50	-73.2759	561.364	284.474	-137.127	449.19	215.238	49.6014	543.631	197.004	-25.1936	377.563	36.4813	-1.28355	375.53	21.5837	14.9952	400.272	33.5188
51	-73.2776	561.379	284.462	-137.133	449.2	215.242	49.5943	543.64	196.987	-25.2032	377.564	36.4807	-1.28614	375.53	21.5874	14.9931	400.278	33.5239
52	-73.2817	561.403	284.435	-137.134	449.221	215.226	49.592	543.66	196.965	-25.1997	377.563	36.473	-1.31592	375.553	21.5766	14.9916	400.277	33.5069
53	-73.3124	561.424	284.428	-137.151	449.232	215.227	49.5751	543.669	196.97	-25.2053	377.565	36.4843	-1.28209	375.535	21.5899	14.9922	400.276	33.5188
54	-73.3188	561.437	284.417	-137.148	449.235	215.218	49.5748	543.686	196.97	-25.189	377.567	36.4799	-1.26258	375.535	21.5894	15.0033	400.274	33.5185
55	-73.3466	561.438	284.429	-137.169	449.231	215.224	49.5522	543.692	196.99	-25.2046	377.567	36.4985	-1.27594	375.535	21.6041	14.8143	400.281	33.4216
56	-73.36	561.433	284.416	-137.158	449.221	215.206	49.5468	543.694	196.98	-25.1869	377.567	36.4833	-1.26567	375.533	21.591	14.9992	400.276	33.5213
57	-73.3794	561.422	284.425	-137.178	449.207	215.211	49.527	543.693	196.995	-25.1957	377.565	36.4917	-1.33387	375.551	21.5833	14.9904	400.281	33.5283
58	-73.38	561.413	284.416	-137.171	449.195	215.199	49.5304	543.687	196.987	-25.1802	377.563	36.4785	-1.32597	375.553	21.5713	14.9914	400.273	33.5058
59	-73.4115	561.401	284.425	-137.189	449.187	215.209	49.5114	543.683	196.997	-25.1933	377.562	36.4891	-1.29297	375.531	21.5798	14.9867	400.271	33.5187
60	-73.4136	561.402	284.413	-137.185	449.19	215.194	49.5102	543.688	196.988	-25.1859	377.563	36.4817	-1.28667	375.53	21.5722	14.9986	400.274	33.5128
61	-73.4252	561.395	284.432	-137.205	449.184	215.207	49.4989	543.692	197.003	-25.2017	377.567	36.4927	-1.332	375.558	21.5894	14.9902	400.278	33.5261
62	-73.3987	561.374	284.437	-137.183	449.174	215.203	49.5167	543.672	197.005	-25.1955	377.564	36.4831	-1.3263	375.55	21.5843	14.9971	400.277	33.5206
63	-73.3799	561.352	284.47	-137.174	449.163	215.228	49.5251	543.65	197.023	-25.211	377.568	36.4905	-1.3401	375.558	21.5799	14.8037	400.283	33.4151
64	-73.3419	561.341	284.472	-137.15	449.158	215.228	49.5562	543.638	197.024	-25.1865	377.568	36.4814	-1.32228	375.556	21.5719	14.9905	400.278	33.5106
65	-73.3455	561.339	284.477	-137.145	449.154	215.237	49.5577	543.636	197.032	-25.1899	377.562	36.4915	-1.2901	375.531	21.5792	14.8082	400.28	33.4058
66	-73.3518	561.351	284.46	-137.147	449.165	215.219	49.5583	543.638	197.021	-25.1775	377.561	36.4884	-1.27643	375.53	21.5841	14.9893	400.272	33.5111
67	-73.3845	561.357	284.46	-137.178	449.167	215.224	49.5248	543.646	197.021	-25.2049	377.566	36.4961	-1.29189	375.529	21.5941	14.8049	400.282	33.4147
68	-73.3843	561.349	284.458	-137.184	449.162	215.214	49.5246	543.645	197.016	-25.1999	377.569	36.4871	-1.31973	375.555	21.5855	14.9968	400.277	33.5217
69	-73.3991	561.316	284.486	-137.194	449.139	215.228	49.5126	543.634	197.042	-25.21	377.567	36.491	-1.34804	375.555	21.5795	14.9892	400.282	33.5308
70	-73.4015	561.275	284.507	-137.187	449.104	215.226	49.5156	543.61	197.071	-25.2003	377.563	36.4891	-1.33795	375.553	21.5758	14.9946	400.277	33.5228
71	-73.4453	561.224	284.537	-137.209	449.058	215.232	49.4894	543.595	197.101	-25.2002	377.565	36.4881	-1.2991	375.531	21.5848	14.7992	400.278	33.4084
72	-73.4867	561.173	284.552	-137.226	449.009	215.221	49.4494	543.572	197.124	-25.2008	377.562	36.4906	-1.3283	375.55	21.579	14.9778	400.271	33.5156
73	-73.5476	561.111	284.579	-137.249	448.949	215.212	49.4079	543.553	197.157	-25.206	377.558	36.4956	-1.33061	375.546	21.5919	14.9756	400.27	33.5244
74	-73.5862	561.027	284.614	-137.263	448.881	215.212	49.3839	543.519	197.203	-25.1955	377.556	36.4973	-1.29945	375.518	21.5961	14.8032	400.271	33.4166
